id,platform,name,date,type,subject,questions,marks,time,syllabus,link,remarks,status,marks_obtained,potential_marks
GO001,GO Classes,DM Topic Wise Test 1,,Topic,Discrete Mathematics,15,25,45,"Propositional logic, First order logic",,,Not Started,,
GO002,GO Classes,DM Topic Wise Test 2,,Topic,Discrete Mathematics,22,33,60,"Set Theory, Functions, Relations, Lattices",,,Not Started,,
GO003,GO Classes,DM Topic Wise Test 3,,Topic,Discrete Mathematics,18,27,60,Group Theory,,,Not Started,,
GO004,GO Classes,DM Topic Wise Test 4,,Topic,Discrete Mathematics,15,25,45,Combinatorics,,,Not Started,,
GO005,GO Classes,DM Topic Wise Test 5,,Topic,Discrete Mathematics,15,25,45,Graph Theory,,,Not Started,,
GO006,GO Classes,DM Subject Wise Test 1,,Subject,Discrete Mathematics,30,50,90,Complete GATE CSE Discrete Maths syllabus,,,Not Started,,
GO007,GO Classes,DM Subject Wise Test 2,,Subject,Discrete Mathematics,30,50,90,Complete GATE CSE Discrete Maths syllabus,,,Not Started,,
GO008,GO Classes,DM Subject Wise Test 3,,Subject,Discrete Mathematics,30,50,90,Complete GATE CSE Discrete Maths syllabus,,,Not Started,,
GO009,GO Classes,EM Topic Wise Test 1,,Topic,Engineering Mathematics,15,25,45,Complete GATE CSE Linear Algebra,,,Not Started,,
GO010,GO Classes,EM Extra Linear Algebra Test,,Topic,Engineering Mathematics,15,25,45,Complete GATE CSE Linear Algebra,,,Not Started,,
GO011,GO Classes,EM Topic Wise Test 2,,Topic,Engineering Mathematics,15,25,45,Counting,,,Not Started,,
GO012,GO Classes,EM Topic Wise Test 3,,Topic,Engineering Mathematics,15,25,45,"Bayes Theorem, Conditional Probability",,,Not Started,,
GO013,GO Classes,EM Topic Wise Test 4,,Topic,Engineering Mathematics,15,25,45,Complete GATE CSE Probability,,,Not Started,,
GO014,GO Classes,EM Topic Wise Test 5,,Topic,Engineering Mathematics,15,25,45,Complete GATE CSE Calculus,,,Not Started,,
GO015,GO Classes,EM Subject Wise Test 1,,Subject,Engineering Mathematics,30,50,90,Complete GATE CSE Engineering Maths syllabus,,,Not Started,,
GO016,GO Classes,EM Subject Wise Test 2,,Subject,Engineering Mathematics,30,50,90,Complete GATE CSE Engineering Maths syllabus,,,Not Started,,
GO017,GO Classes,EM Subject Wise Test 3,,Subject,Engineering Mathematics,30,50,90,Complete GATE CSE Engineering Maths syllabus,,,Not Started,,
GO018,GO Classes,DM & EM Full Length Test 1,,Full,Combined,65,100,180,Complete Discrete Maths and Engineering Maths Syllabus,,,Not Started,,
GO019,GO Classes,DL Topic Wise Test 1,,Topic,Digital Logic,15,25,45,"Boolean Algebra, Minimization, Number System",,,Not Started,,
GO020,GO Classes,DL Topic Wise Test 2,,Topic,Digital Logic,15,25,45,Combinational Circuits,,,Not Started,,
GO021,GO Classes,DL Extra Combinatorics Test,,Topic,Digital Logic,15,25,45,Counting,,,Not Started,,
GO022,GO Classes,DL Topic Wise Test 3,,Topic,Digital Logic,15,25,45,Sequential Circuits,,,Not Started,,
GO023,GO Classes,DL Subject Wise Test 1,,Subject,Digital Logic,30,50,90,Complete Digital Logic syllabus,,,Not Started,,
GO024,GO Classes,DL Subject Wise Test 2,,Subject,Digital Logic,30,50,90,Complete Digital Logic syllabus,,,Not Started,,
GO025,GO Classes,DL Subject Wise Test 3,,Subject,Digital Logic,30,50,90,Complete Digital Logic syllabus,,,Not Started,,
GO026,GO Classes,DBMS Topic Wise Test 1,,Topic,DBMS,15,25,45,Normalization,,,Not Started,,
GO027,GO Classes,DBMS Topic Wise Test 2,,Topic,DBMS,15,25,45,"ER Model, Integrity Constraints",,,Not Started,,
GO028,GO Classes,DBMS Topic Wise Test 3,,Topic,DBMS,15,25,45,"Queries, SQL, TRC, Relational Algebra",,,Not Started,,
GO029,GO Classes,DBMS Topic Wise Test 4,,Topic,DBMS,15,25,45,"Indexing, B Tree, B+ Tree",,,Not Started,,
GO030,GO Classes,DBMS Topic Wise Test 5,,Topic,DBMS,15,25,45,Transaction management,,,Not Started,,
GO031,GO Classes,DBMS Subject Wise Test 1,,Subject,DBMS,30,50,90,Complete Database syllabus,,,Not Started,,
GO032,GO Classes,DBMS Subject Wise Test 2,,Subject,DBMS,30,50,90,Complete Database syllabus,,,Not Started,,
GO033,GO Classes,DBMS Subject Wise Test 3,,Subject,DBMS,30,50,90,Complete Database syllabus,,,Not Started,,
GO034,GO Classes,C Programming Topic Wise Test 1,,Topic,C Programming,15,25,45,"Number Representation, Control Statements, Operators",,,Not Started,,
GO035,GO Classes,C Programming Topic Wise Test 2,,Topic,C Programming,15,25,45,"Compilation system, Storage class, Function, Recursion, Pointers",,,Not Started,,
GO036,GO Classes,C Programming Topic Wise Test 3,,Topic,C Programming,15,25,45,"Pointers, Char array and strings, Structures, Dynamic memory allocation",,,Not Started,,
GO037,GO Classes,C Programming Subject Wise Test 1,,Subject,C Programming,30,50,90,Complete C Programming syllabus,,,Not Started,,
GO038,GO Classes,C Programming Subject Wise Test 2,,Subject,C Programming,30,50,90,Complete C Programming syllabus,,,Not Started,,
GO039,GO Classes,C Programming Subject Wise Test 3,,Subject,C Programming,30,50,90,Complete C Programming syllabus,,,Not Started,,
GO040,GO Classes,TOC Topic Wise Test 1,,Topic,TOC,15,25,45,Finite Automata,,,Not Started,,
GO041,GO Classes,TOC Topic Wise Test 2,,Topic,TOC,15,25,45,Regular Expression,,,Not Started,,
GO042,GO Classes,TOC Topic Wise Test 3,,Topic,TOC,15,25,45,"CFG, PDA",,,Not Started,,
GO043,GO Classes,TOC Topic Wise Test 4,,Topic,TOC,15,25,45,"Closure Properties, language class detection",,,Not Started,,
GO044,GO Classes,TOC Topic Wise Test 5,,Topic,TOC,15,25,45,"Decidability, Undecidability",,,Not Started,,
GO045,GO Classes,TOC Subject Wise Test 1,,Subject,TOC,30,50,90,Complete Theory of Computation Syllabus,,,Not Started,,
GO046,GO Classes,TOC Subject Wise Test 2,,Subject,TOC,30,50,90,Complete Theory of Computation Syllabus,,,Not Started,,
GO047,GO Classes,TOC Subject Wise Test 3,,Subject,TOC,30,50,90,Complete Theory of Computation Syllabus,,,Not Started,,
